text	perspective_Gold	content_Gold	position_Gold	perspective_ChatGPT	content_ChatGPT	position_ChatGPT	content_LlamaChinese	position_LlamaChinese	perspective_LlamaChinese	content_Llama3	position_Llama3	perspective_Llama3
空空道人听如此说，思忖半晌，将《石头记》再检阅一遍，因见上面虽有些指奸责佞贬恶诛邪之语，亦非伤时骂世之旨，及至君仁臣良父慈子孝，凡伦常所关之处，皆是称功颂德，眷眷无穷，实非别书之可比。虽其中大旨谈情，亦不过实录其事，又非假拟妄称，一味淫邀艳约，私订偷盟之可比。因毫不干涉时世，方从头至尾抄录回来，问世传奇。从此空空道人因空见色，由色生情，传情入色，自色悟空，遂易名为情僧，改《石头记》为《情僧录》。东鲁孔梅溪则题曰《风月宝鉴》。后因曹雪芹于悼红轩中披阅十载，增删五次，纂成目录，分出章回，则题曰《金陵十二钗》。并题一绝云：p_s满纸荒唐言，一把辛酸泪！都云作者痴，谁解其中味？p_e出则既明，且看石上是何故事。按那石上书云：	narrator	commentary	middle	narrator	commentary	beginning	commentary	beginning	narrator	commentary	beginning	narrator
一日，早又中秋佳节。士隐家宴已毕，乃又另具一席于书房，却自己步月至庙中来邀雨村。原来雨村自那日见了甄家之婢曾回顾他两次，自为是个知己，便时刻放在心上。今又正值中秋，不免对月有怀，因而口占五言一律云：p_s未卜三生愿，频添一段愁。闷来时敛额，行去几回头。自顾风前影，谁堪月下俦？蟾光如有意，先上玉人楼。p_e雨村吟罢，因又思及平生抱负，苦未逢时，乃又搔首对天长叹，复高吟一联曰：	character	character portraiture	middle	character	character portraiture	middle	plot	middle	character	commentary	middle	character
可巧这日拄了拐杖挣挫到街前散散心时，忽见那边来了一个跛足道人，疯癫落脱，麻屣鹑衣，口内念着几句言词，道是：p_s世人都晓神仙好，惟有功名忘不了！古今将相在何方？荒冢一堆草没了。世人都晓神仙好，只有金银忘不了！终朝只恨聚无多，及到多时眼闭了。世人都晓神仙好，只有姣妻忘不了！君生日日说恩情，君死又随人去了。世人都晓神仙好，只有儿孙忘不了！痴心父母古来多，孝顺儿孙谁见了？p_e士隐听了，便迎上来道：“你满口说些什么？只听见些`好'`了'`好'`了'。那道人笑道：“你若果听见`好'`了'二字，还算你明白。可知世上万般，好便是了，了便是好。若不了，便不好，若要好，须是了。我这歌儿，便名《好了歌》""士隐本是有宿慧的，一闻此言，心中早已彻悟。因笑道：“且住！待我将你这《好了歌》解注出来何如？""道人笑道：“你解，你解。”士隐乃说道：	character	commentary	middle	character	commentary	middle	commentary	middle	character	commentary	beginning	narrator
如冰水好空相妒，枉与他人作笑谈。后面又画着高楼大厦，有一美人悬梁自缢。其判云：p_s情天情海幻情身，情既相逢必主淫。漫言不肖皆荣出，造衅开端实在宁。p_e宝玉还欲看时，那仙姑知他天分高明，性情颖慧，恐把仙机泄漏，遂掩了卷册，笑向宝玉道：“且随我去游玩奇景，何必在此打这闷葫芦！”	narrator	character portraiture	middle	character	commentary	middle	plot	beginning	character	commentary	middle	narrator
闲言少述，且说宝玉来至梨香院中，先入薛姨妈室中来，正见薛姨妈打点针黹与丫鬟们呢。宝玉忙请了安，薛姨妈忙一把拉了他，抱入怀内，笑说：“这们冷天，我的儿，难为你想着来，快上炕来坐着罢。”命人倒滚滚的茶来。宝玉因问：“哥哥不在家？""薛姨妈叹道：“他是没笼头的马，天天忙不了，那里肯在家一日。”宝玉道：“姐姐可大安了？""薛姨妈道：“可是呢，你前儿又想着打发人来瞧他。他在里间不是，你去瞧他，里间比这里暖和，那里坐着，我收拾收拾就进去和你说话儿。”宝玉听说，忙下了炕来至里间门前，只见吊着半旧的红н软帘。宝玉掀帘一迈步进去，先就看见薛宝钗坐在炕上作针线，头上挽着漆黑油光的シ儿，蜜合色棉袄，玫瑰紫二色金银鼠比肩褂，葱黄绫棉裙，一色半新不旧，看去不觉奢华。唇不点而红，眉不画而翠，脸若银盆，眼如水杏。罕言寡语，人谓藏愚，安分随时，自云守拙。宝玉一面看，一面问：“姐姐可大愈了？""宝钗抬头只见宝玉进来，连忙起身含笑答说：“已经大好了，倒多谢记挂着。”说着，让他在炕沿上坐了，即命莺儿斟茶来。一面又问老太太姨娘安，别的姐妹们都好。一面看宝玉头上戴着丝嵌宝紫金冠，额上勒着二龙抢珠金抹额，身上穿着秋香色立蟒白狐腋箭袖，系着五色蝴蝶鸾绦，项上挂着长命锁，记名符，另外有一块落草时衔下来的宝玉。宝钗因笑说道：“成日家说你的这玉，究竟未曾细细的赏鉴，我今儿倒要瞧瞧。”说着便挪近前来。宝玉亦凑了上去，从项上摘了下来，递在宝钗手内。宝钗托于掌上，只见大如雀卵，灿若明霞，莹润如酥，五色花纹缠护。这就是大荒山中青埂峰下的那块顽石的幻相。后人曾有诗嘲云：p_s女娲炼石已荒唐，又向荒唐演大荒。失去幽灵真境界，幻来亲就臭皮囊。好知运败金无彩，堪叹时乖玉不光。白骨如山忘姓氏，无非公子与红妆。p_e那顽石亦曾记下他这幻相并癞僧所镌的篆文，今亦按图画于后。但其真体最小，方能从胎中小儿口内衔下。今若按其体画，恐字迹过于微细，使观者大废眼光，亦非畅事。故今只按其形式，无非略展些规矩，使观者便于灯下醉中可阅。今注明此故，方无胎中之儿口有多大，怎得衔此狼о蠢大之物等语之谤。	narrator	commentary	middle	narrator	commentary	middle	plot	beginning	character	commentary	end	narrator
贾政心内沉思道：“娘娘所作爆竹，此乃一响而散之物。迎春所作算盘，是打动乱如麻。探春所作风筝，乃飘飘浮荡之物。惜春所作海灯，一发清净孤独。今乃上元佳节，如何皆作此不祥之物为戏耶？""心内愈思愈闷，因在贾母之前，不敢形于色，只得仍勉强往下看去。只见后面写着七言律诗一首，却是宝钗所作，随念道：p_s朝罢谁携两袖烟，琴边衾里总无缘。晓筹不用鸡人报，五夜无烦侍女添。焦首朝朝还暮暮，煎心日日复年年。光阴荏苒须当惜，风雨阴晴任变迁。p_e贾政看完，心内自忖道：“此物还倒有限。只是小小之人作此词句，更觉不祥，皆非永远福寿之辈。”想到此处，愈觉烦闷，大有悲戚之状，因而将适才的精神减去十分之八九，只垂头沉思。	character	scene	middle	character	commentary	middle	commentary	beginning	narrator	commentary	middle	narrator
闲言少叙。且说宝玉自进花园以来，心满意足，再无别项可生贪求之心。每日只和姊妹丫头们一处， 或读书，或写字，或弹琴下棋，作画吟诗，以至描鸾刺凤，斗草簪花，低吟悄唱，拆字猜枚，无所不至，倒也十分快乐。他曾有几首即事诗，虽不算好，却倒是真情真景，略记几首云：春夜即事 p_s霞绡云幄任铺陈，隔巷蟆更听未真。枕上轻寒窗外雨，眼前春色梦中人。盈盈烛泪因谁泣，点点花愁为我嗔。自是小鬟娇懒惯，拥衾不耐笑言频。p_e倦绣佳人幽梦长，金笼鹦鹉唤茶汤。窗明麝月开宫镜，室霭檀云品御香。琥珀杯倾荷露滑，玻璃槛纳柳风凉。水亭处处齐纨动，帘卷朱楼罢晚妆。	character	scene	middle	character	character portraiture	middle	commentary	beginning	character	commentary	middle	narrator
春夜即事 霞绡云幄任铺陈，隔巷蟆更听未真。枕上轻寒窗外雨，眼前春色梦中人。盈盈烛泪因谁泣，点点花愁为我嗔。自是小鬟娇懒惯，拥衾不耐笑言频。夏夜即事 p_s倦绣佳人幽梦长，金笼鹦鹉唤茶汤。窗明麝月开宫镜，室霭檀云品御香。琥珀杯倾荷露滑，玻璃槛纳柳风凉。水亭处处齐纨动，帘卷朱楼罢晚妆。p_e秋夜即事 绛芸轩里绝喧哗，桂魄流光浸茜纱。苔锁石纹容睡鹤，井飘桐露湿栖鸦。抱衾婢至舒金凤，倚槛人归落翠花。静夜不眠因酒渴，沉烟重拨索烹茶。	character	scene	middle	character	character portraiture	middle	plot	middle	character	scene	middle	narrator
夏夜即事 倦绣佳人幽梦长，金笼鹦鹉唤茶汤。窗明麝月开宫镜，室霭檀云品御香。琥珀杯倾荷露滑，玻璃槛纳柳风凉。水亭处处齐纨动，帘卷朱楼罢晚妆。秋夜即事 p_s绛芸轩里绝喧哗，桂魄流光浸茜纱。苔锁石纹容睡鹤，井飘桐露湿栖鸦。抱衾婢至舒金凤，倚槛人归落翠花。静夜不眠因酒渴，沉烟重拨索烹茶。p_e冬夜即事 梅魂竹梦已三更，锦やむ衾睡未成。松影一庭惟见鹤，梨花满地不闻莺。女儿翠袖诗怀冷，公子金貂酒力轻。却喜侍儿知试茗，扫将新雪及时烹。	character	scene	middle	character	character portraiture	middle	plot	middle	character	commentary	end	narrator
冬夜即事 p_s梅魂竹梦已三更，锦やむ衾睡未成。松影一庭惟见鹤，梨花满地不闻莺。女儿翠袖诗怀冷，公子金貂酒力轻。却喜侍儿知试茗，扫将新雪及时烹。p_e因这几首诗，当时有一等势利人，见是荣国府十二三岁的公子作的，抄录出来各处称颂，再有一等轻浮子弟，爱上那风骚妖艳之句，也写在扇头壁上，不时吟哦赏赞。因此竟有人来寻诗觅字，倩画求题的。宝玉亦发得了意，镇日家作这些外务。	character	scene	middle	character	scene	middle	plot	beginning	narrator	commentary	middle	narrator
